session,trial,rat,RL,laggedRL,signalDuration,laggedsignalDuration,response,laggedResponse,hit,miss,cr,fa,incongHit,congHit
1.0,111.0,3.0,0.049,0.052000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,112.0,3.0,0.043000000000000003,0.049,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.0,113.0,3.0,0.014,0.043000000000000003,0.0,500.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1.0,114.0,3.0,0.041,0.014,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1.0,115.0,3.0,0.069,0.041,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1.0,118.0,3.0,0.045000000000000005,0.043000000000000003,0.05,500.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,119.0,3.0,0.032,0.045000000000000005,0.0,50.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1.0,120.0,3.0,0.098,0.032,0.025,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,121.0,3.0,0.116,0.098,0.025,25.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,122.0,3.0,0.10400000000000001,0.116,0.05,25.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.0,123.0,3.0,0.041,0.10400000000000001,0.5,50.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,124.0,3.0,0.043000000000000003,0.041,0.0,500.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1.0,125.0,3.0,0.036000000000000004,0.043000000000000003,0.025,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,126.0,3.0,0.051000000000000004,0.036000000000000004,0.05,25.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,127.0,3.0,0.047,0.051000000000000004,0.05,50.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,128.0,3.0,0.048,0.047,0.05,50.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,129.0,3.0,0.046,0.048,0.0,50.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1.0,130.0,3.0,0.032,0.046,0.5,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,131.0,3.0,0.041,0.032,0.0,500.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,132.0,3.0,0.091,0.041,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,133.0,3.0,0.031,0.091,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.0,134.0,3.0,0.047,0.031,0.025,500.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,135.0,3.0,0.009000000000000001,0.047,0.0,25.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,136.0,3.0,0.059000000000000004,0.009000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,137.0,3.0,0.29600000000000004,0.059000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,138.0,3.0,0.07200000000000001,0.29600000000000004,0.05,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,139.0,3.0,0.17600000000000002,0.07200000000000001,0.5,50.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.0,140.0,3.0,0.052000000000000005,0.17600000000000002,0.0,500.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1.0,141.0,3.0,0.036000000000000004,0.052000000000000005,0.025,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,142.0,3.0,0.04,0.036000000000000004,0.0,25.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1.0,143.0,3.0,0.05,0.04,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1.0,144.0,3.0,0.063,0.05,0.025,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,145.0,3.0,0.062,0.063,0.0,25.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,146.0,3.0,0.049,0.062,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,147.0,3.0,0.017,0.049,0.025,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.0,148.0,3.0,0.08600000000000001,0.017,0.0,25.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1.0,149.0,3.0,0.044000000000000004,0.08600000000000001,0.05,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,150.0,3.0,0.063,0.044000000000000004,0.05,50.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,151.0,3.0,0.039,0.063,0.05,50.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.0,152.0,3.0,0.059000000000000004,0.039,0.025,50.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,153.0,3.0,0.082,0.059000000000000004,0.0,25.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,154.0,3.0,0.051000000000000004,0.082,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,155.0,3.0,0.169,0.051000000000000004,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.0,156.0,3.0,0.034,0.169,0.0,500.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1.0,157.0,3.0,0.056,0.034,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
